CompoundID,CompoundName,GeneSymbolOfTargets,TargetOrMechanism,Synonyms,SampleIDs,ChEMBLID,SMILES,InChIKey,DoseUnit,PubChemCID
DPC-003097,GSK126,EZH2,inhibitor of EZH2,GSK2816126;GSK2816126A,BRD:BRD-K21867462-001-02-9,CHEMBL14253,CCC(C)N1C=C(C2=C(C=C(C=C21)C3=CN=C(C=C3)N4CCNCC4)C(=O)NCC5=C(C=C(NC5=O)C)C)C,FKSFKBQGSFSOSM-QFIPXVFZSA-N,uM,68210102
DPC-003098,GSK1292263,GRPR,GLUCOSE DEPENDENT INSULINOTROPIC RECEPTOR AGONIST,,BRD:BRD-K60341624-001-02-2,,,,uM,
DPC-003099,GSK1562590,UTS2R,UROTENSIN RECEPTOR ANTAGONIST,,BRD:BRD-K36697397-003-02-9,,,,uM,
DPC-003100,GSK163090,HTR1A;HTR1B;HTR1D,SEROTONIN RECEPTOR ANTAGONIST,,BRD:BRD-K69669039-001-01-8,,,,uM,
DPC-003101,GSK1838705A,ALK;IGF1R;INSR;RPS6KA1,INSULIN GROWTH FACTOR RECEPTOR INHIBITOR,,BRD:BRD-K06749501-001-02-1,,,,uM,
DPC-003102,GSK189254,,HISTAMINE RECEPTOR ANTAGONIST,,BRD:BRD-K00003166-001-01-9,,,,uM,
DPC-003103,GSK2190915,ALOX5AP,LIPOXYGENASE INHIBITOR,,BRD:BRD-K15691453-236-01-6,,,,uM,
DPC-003104,GSK2193874,TRPV4,TRANSIENT RECEPTOR POTENTIAL CHANNEL ANTAGONIST,,BRD:BRD-K90737788-001-02-9,,,,uM,
DPC-003105,GSK2194069,FASN,FATTY ACID SYNTHASE INHIBITOR,,BRD:BRD-K95123482-001-01-6,,,,uM,
DPC-003106,GSK2239633A,,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-K00003364-001-01-9,,,,uM,
DPC-003107,GSK2245035,,,,BRD:BRD-K00074079-001-02-9,,,,uM,
DPC-003108,GSK2256098,,KINASE INHIBITOR,,BRD:BRD-K00003379-001-01-9,,,,uM,
DPC-003109,GSK2256294A,EPHX2,EPOXIDE HYDOLASE INHIBITOR,,BRD:BRD-K62738477-001-01-7,,,,uM,
DPC-003110,GSK2330672,SLC10A2,BILE ACID TRANSPORTER INHIBITOR,,BRD:BRD-K05858796-001-01-7,,,,uM,
DPC-003111,GSK2334470,AURKA;AURKB;PDPK1,PHOSPHOINOSITIDE DEPENDENT KINASE INHIBITOR,,BRD:BRD-K70642949-001-03-7,,,,uM,
DPC-003112,GSK239512,,HISTAMINE RECEPTOR ANTAGONIST,,BRD:BRD-K00004689-001-01-9,,,,uM,
DPC-003113,GSK256066,PDE4A,PHOSPHODIESTERASE INHIBITOR,,BRD:BRD-K37590257-001-02-8,,,,uM,
DPC-003114,GSK2636771,PIK3CB,PI3K INHIBITOR,,BRD:BRD-K49215523-001-04-2;CTRP:668723,,,,uM,
DPC-003115,GSK2656157,,PERK INHIBITOR,,BRD:BRD-K41104902-001-01-3,,,,uM,
DPC-003116,GSK269962,ROCK1;ROCK2,RHO ASSOCIATED KINASE INHIBITOR,,BRD:BRD-K89464729-001-03-1,,,,uM,
DPC-003117,GSK2801,BAZ2A;BAZ2B,BROMODOMAIN INHIBITOR,,BRD:BRD-K48062199-001-01-8,,,,uM,
DPC-003118,GSK2830371,PPM1D,PROTEIN PHOSPHATASE INHIBITOR,,BRD:BRD-K17472821-001-01-2,,,,uM,
DPC-003119,GSK2837808A,LDHA,LACTATE DEHYDROGENASE INHIBITOR,,BRD:BRD-K50679358-001-02-9,,,,uM,
DPC-003120,GSK2838232,,HIV GAG INHIBITOR,,BRD:BRD-K08398903-001-01-1,,,,uM,
DPC-003121,GSK2879552,KDM1A,HISTONE LYSINE DEMETHYLASE INHIBITOR,,BRD:BRD-K09223495-001-01-4,,,,uM,
DPC-003122,GSK2881078,,ANDROGEN RECEPTOR MODULATOR,,BRD:BRD-K97656802-001-02-9,,,,uM,
DPC-003123,GSK2981278,,ROR MODULATOR,,BRD:BRD-K00003292-001-01-9,,,,uM,
DPC-003124,GSK2982772,,RIPK INHIBITOR,,BRD:BRD-K00003429-001-01-9,,,,uM,
DPC-003125,GSK2983559 (FREE ACID),,,,BRD:BRD-K00091265-001-01-9,,,,uM,
DPC-003126,GSK3117391,,HDAC INHIBITOR,,BRD:BRD-K00004614-001-01-9,,,,uM,
DPC-003127,GSK3179106,,RET TYROSINE KINASE INHIBITOR,,BRD:BRD-K00003373-001-01-9,,,,uM,
DPC-003128,GSK319347A,,,IKK-3 INHIBITOR;KIN001-135,GDSC1:91,,,,uM,
DPC-003130,GSK356278,,PHOSPHODIESTERASE INHIBITOR,,BRD:BRD-K00004711-001-01-9,,,,uM,
DPC-003131,GSK369796,,POTASSIUM CHANNEL ANTAGONIST,,BRD:BRD-K00003121-300-01-9,,,,uM,
DPC-003132,GSK3787,PPARD,PPAR RECEPTOR ANTAGONIST,,BRD:BRD-K03155172-001-02-2,,,,uM,
DPC-003133,GSK4112,,,,CTRP:660081,,,,uM,
DPC-003134,GSK429286A,ROCK1,RHO ASSOCIATED KINASE INHIBITOR,,BRD:BRD-A10523515-001-07-9;GDSC1:230,,,,uM,
DPC-003135,GSK461364,PLK1,PLK INHIBITOR,,BRD:BRD-K92428232-001-10-6;CTRP:649862,,,,uM,
DPC-003136,GSK503,EZH2,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,,BRD:BRD-K72293620-001-01-7,,,,uM,
DPC-003137,GSK525762A,BRD2;BRD3;BRD4,BROMODOMAIN INHIBITOR,I-BET-762,BRD:BRD-K08109215-001-06-4;CTRP:660245;GDSC1:275;GDSC2:1624,,,,uM,
DPC-003138,GSK656,,LEUCYL-TRNA SYNTHETASE INHIBITOR,,BRD:BRD-K00003483-003-01-9,,,,uM,
DPC-003139,GSK9027,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-K29328421-001-01-6,,,,uM,
DPC-003140,GSK923295,CENPE,CENTROMERE ASSOCIATED PROTEIN INHIBITOR,,BRD:BRD-K89015388-001-01-7,,,,uM,
DPC-003141,GTP-14564,CSF1R;FLT3;KIT;PDGFRB,"FLT3 INHIBITOR, TYROSINE KINASE INHIBITOR",,BRD:BRD-K16664969-001-03-3,,,,uM,
DPC-003142,GTPL5238,CASP3,CASPASE ACTIVATOR,PAC-1,BRD:BRD-K92991072-001-04-9;CTRP:411832;GDSC1:175,,,,uM,
DPC-003143,GTPL8020,,,KRAS (G12C) INHIBITOR-12,GDSC2:1855,,,,uM,
DPC-003144,GTS21,CHRNA7,CHOLINERGIC RECEPTOR AGONIST,,BRD:BRD-K14235254-001-01-2,,,,uM,
DPC-003145,GUACETISAL,,IMMUNOSUPPRESSANT,,BRD:BRD-K00739965-001-01-9,,,,uM,
DPC-003146,GUADECITABINE,,DNA METHYLTRANSFERASE INHIBITOR,,BRD:BRD-K00003187-236-01-9,,,,uM,
DPC-003147,GUAIFENESIN,,EXPECTORANT,,BRD:BRD-A90515964-001-16-5,,,,uM,
DPC-003148,GUANABEN-ACETATE,ADRA2A;ADRA2B;ADRA2C,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-K62736196-015-11-0;BRD:BRD-K62736196-015-13-6,,,,uM,
DPC-003149,GUANADREL,SLC6A2,ADRENERGIC INHIBITOR,,BRD:BRD-A14262390-065-01-8,,,,uM,
DPC-003150,GUANCYDINE,,ANTIHYPERTENSIVE AGENT,,BRD:BRD-K00005334-001-01-9,,,,uM,
DPC-003151,GUANETHIDINE,SLC6A2,ADRENERGIC INHIBITOR,,BRD:BRD-K62676709-065-05-5,,,,uM,
DPC-003152,GUANFACINE,ADRA2A;ADRA2B;ADRA2C,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-K32830106-001-02-6;BRD:BRD-K32830106-003-20-4,,,,uM,
DPC-003153,GUANIDINE,ALDH2;DLG4;GAMT;RNASE1,HSP INHIBITOR,,BRD:BRD-K76037122-001-02-5,,,,uM,
DPC-003154,GUANIDINOETHYLDISULFIDE-BICARBONATE,NOS2,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K69191882-065-01-6,,,,uM,
DPC-003155,GUANOSINE,PNP,,,BRD:BRD-K92976206-001-01-5,,,,uM,
DPC-003156,GUE-1654,OXER1,OXOEICOSANOID RECEPTOR MODULATOR,,BRD:BRD-K18745919-001-01-3,,,,uM,
DPC-003157,GUSACITINIB,,,,BRD:BRD-K00091102-001-01-9,,,,uM,
DPC-003158,GUVACINE,SLC6A1;SLC6A11;SLC6A12;SLC6A13,GABA UPTAKE INHIBITOR,,BRD:BRD-K01980392-003-11-6,,,,uM,
DPC-003159,GW 441756,,,GW441756,GDSC1:1023,,,,uM,
DPC-003160,GW-0742,PPARD,PPAR RECEPTOR AGONIST,,BRD:BRD-K82983861-001-04-3,,,,uM,
DPC-003161,GW-1100,FFAR1,G PROTEIN-COUPLED RECEPTOR AGONIST,,BRD:BRD-K23614267-001-01-2,,,,uM,
DPC-003162,GW-1929,PPARG,PPAR RECEPTOR AGONIST,,BRD:BRD-A15415227-003-02-9,,,,uM,
DPC-003163,GW-311616,ELANE,"ELASTASE INHIBITOR, LEUKOCYTE ELASTASE INHIBITOR",,BRD:BRD-K37864785-001-01-0,,,,uM,
DPC-003164,GW-3965,NR1H2;NR1H3,LXR AGONIST,,BRD:BRD-K33818169-003-04-6,,,,uM,
DPC-003165,GW-405833,CNR2,CANNABINOID RECEPTOR AGONIST,,BRD:BRD-K10705233-001-02-2;CTRP:375447,,,,uM,
DPC-003166,GW-4064,NR1H4,FXR AGONIST,,BRD:BRD-K88186167-001-04-8,,,,uM,
DPC-003167,GW-438014A,NPY5R,NEUROPEPTIDE RECEPTOR ANTAGONIST,,BRD:BRD-K13039700-066-01-2,,,,uM,
DPC-003168,GW-441756,NTRK1,GROWTH FACTOR RECEPTOR INHIBITOR,,BRD:BRD-K41312087-001-02-7,,,,uM,
DPC-003169,GW-501516,PPARA;PPARD,PPAR RECEPTOR AGONIST,,BRD:BRD-K14880289-001-02-2,,,,uM,
DPC-003170,GW-542573X,KCNN1,CALCIUM CHANNEL ACTIVATOR,,BRD:BRD-K36485341-001-02-9,,,,uM,
DPC-003171,GW-583340,EGFR;ERBB2,EGFR INHIBITOR,,BRD:BRD-K79930101-300-03-7,,,,uM,
DPC-003172,GW-627368,PTGER4,PROSTANOID RECEPTOR ANTAGONIST,,BRD:BRD-K50005760-001-01-1,,,,uM,
DPC-003173,GW-6471,PPARA,PPAR RECEPTOR ANTAGONIST,,BRD:BRD-K20828910-001-02-0,,,,uM,
DPC-003174,GW-7647,PPARA,PPAR RECEPTOR AGONIST,,BRD:BRD-K96263742-001-14-8,,,,uM,
DPC-003175,GW-788388,LCK;MAPK14;TGFBR1,ALK TYROSINE KINASE RECEPTOR INHIBITOR,,BRD:BRD-K78086729-001-02-7,,,,uM,
DPC-003176,GW-803430,KCNH2;MCHR1,MELANIN INHIBITOR,,BRD:BRD-K65576800-001-01-6,,,,uM,
DPC-003177,GW-842166,CNR2,CANNABINOID RECEPTOR AGONIST,,BRD:BRD-K26823213-001-02-9,,,,uM,
DPC-003178,GW-843682X,PLK1;PLK3,PLK INHIBITOR,,BRD:BRD-K90382497-001-10-7;CTRP:348997,,,,uM,
DPC-003179,GW-9508,FFAR1;FFAR4,"FREE FATTY ACID RECEPTOR AGONIST, G PROTEIN-COUPLED RECEPTOR AGONIST",,BRD:BRD-K71534238-001-10-0,,,,uM,
DPC-003180,GW-9662,NCOA2;PPARG;RXRA,PPAR RECEPTOR ANTAGONIST,,BRD:BRD-K93258693-001-17-3,,,,uM,
DPC-003181,GW274150,,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K65840970-001-02-9,,,,uM,
DPC-003182,GW7604,,,,BRD:BRD-K00073895-001-02-9,,,,uM,
DPC-003183,GW843682X,,,GW843682X (AN-13),GDSC1:87,,,,uM,
DPC-003184,GX15-070,BCL2,BCL INHIBITOR,GX15-070MS;OBATOCLAX;OBATOCLAX MESYLATE,BRD:BRD-K15600710-066-04-1;BRD:BRD-K15600710-066-05-8;CTRP:606142;GDSC1:182;GDSC2:1068,,,,uM,
DPC-003185,OLVEREMBATINIB,ABL1,"inhibitor of BCR-ABL1, including common ABL1-mutant kinases",GZD824;HQP1351,BRD:BRD-K35329391-334-01-7,CHEMBL14253,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CC5=C(NN=C5)N=C4,TZKBVRDEOITLRB-UHFFFAOYSA-N,uM,51038269
DPC-003186,H-151,,STING ANTAGONIST,,BRD:BRD-K00005333-001-01-9,,,,uM,
DPC-003187,H-89,GSG2;PKIA;PRKACA,PKA INHIBITOR,,BRD:BRD-K27737647-300-03-0,,,,uM,
DPC-003188,H-VAL-PRO-PRO-OH (TFA),,,,BRD:BRD-K00073449-019-02-9,,,,uM,
DPC-003189,H2L-5765834,LPAR1;LPAR3,LYSOPHOSPHATIDIC ACID RECEPTOR ANTAGONIST,,BRD:BRD-K26439554-001-01-3,,,,uM,
DPC-003190,HA-1004,,CALCIUM CHANNEL BLOCKER,,BRD:BRD-K05434375-001-06-5,,,,uM,
DPC-003191,HA-130,ENPP2,AUTOTAXIN INHIBITOR,,BRD:BRD-K64452997-001-02-9,,,,uM,
DPC-003192,HA-966-(R)-(+),GRIA1,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K58046914-001-03-8,,,,uM,
DPC-003193,HA-966-(S)-(-),GRIA1,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K41304947-001-03-2,,,,uM,
DPC-003194,HA14-1,BCL2,BCL INHIBITOR,,BRD:BRD-K18163608-001-05-6,,,,uM,
DPC-003195,HALCINONIDE,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-A88138582-001-04-8,,,,uM,
DPC-003196,HALOBETASOL-PROPIONATE,NR3C1;PLA2G1B,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-K65877271-001-01-8,,,,uM,
DPC-003197,HALOFANTRINE,KCNH2;KCNN4,ANTIMALARIAL AGENT,,BRD:BRD-A51964809-003-12-6,,,,uM,
DPC-003198,HALOFUGINONE,COL1A1;MMP2,COLLAGENASE INHIBITOR,,BRD:BRD-K54247840-004-01-3,,,,uM,
DPC-003199,HALOPEMIDE,PLD1;PLD2,PHOSPHOLIPASE INHIBITOR,,BRD:BRD-K50055394-001-03-6,,,,uM,
DPC-003200,HALOPERIDOL,DRD1;DRD2;DRD3;DRD4;DRD5;GRIN2B;HRH1;HTR1A;HTR1D;HTR2A;HTR2B;HTR7;KCNH1,DOPAMINE RECEPTOR ANTAGONIST,,BRD:BRD-K67783091-001-26-1,,,,uM,
DPC-003201,HALOPERIDOL-DECANOATE,DRD2;DRD3;DRD4;HTR2A,PSYCHOACTIVE DRUG,,BRD:BRD-K80859331-001-01-5,,,,uM,
DPC-003202,HALOPROGIN,,OTHER ANTIFUNGAL,,BRD:BRD-K13238168-001-02-0,,,,uM,
DPC-003203,HALOTHANE,ATP2C1;ATP5D;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;GLRA1;GLRB;GNG2;GRIN2A;GRIN3A;GRIN3B;KCNJ3;KCNJ6;KCNK10;KCNK12;KCNK13;KCNK15;KCNK18;KCNK2;KCNK3;KCNK9;KCNMA1;KCNN4;MT-ND1;NPSR1;RHO,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-A20550616-001-02-9,,,,uM,
DPC-003204,HARMANE,MAOA;MAOB,MONOAMINE OXIDASE INHIBITOR,,BRD:BRD-K12630395-001-14-9,,,,uM,
DPC-003205,HARRINGTONINE,,PROTEIN SYNTHESIS INHIBITOR,,BRD:BRD-K96358241-001-01-9,,,,uM,
DPC-003206,HBED,,CHELATING AGENT,,BRD:BRD-K00004555-001-01-9,,,,uM,
DPC-003207,HBX-41108,,,,CTRP:679843,,,,uM,
DPC-003208,HC-030031,TRPA1,TRPA1 CHANNEL BLOCKER,,BRD:BRD-K73815512-001-02-5,,,,uM,
DPC-003209,HC-067047,TRPV4,TRANSIENT RECEPTOR POTENTIAL CHANNEL ANTAGONIST,,BRD:BRD-K03391209-001-02-0;CTRP:660083,,,,uM,
DPC-003210,HC-070,,TRANSIENT RECEPTOR POTENTIAL CHANNEL ANTAGONIST,,BRD:BRD-K00004601-001-01-9,,,,uM,
DPC-003211,HDAC INHIBITOR XV,,,VNLG/124,GDSC1:271,,,,uM,
DPC-003212,HECLIN,NEDD4;SMURF2;WWP1,UBIQUITIN LIGASE INHIBITOR,,BRD:BRD-K49788188-001-02-9,,,,uM,
DPC-003213,HEMADO,ADORA1;ADORA2A;ADORA2B;ADORA3,ADENOSINE RECEPTOR AGONIST,,BRD:BRD-K34672903-001-01-7,,,,uM,
DPC-003214,HEMATOXYLIN,,,,BRD:BRD-K78342372-001-02-4,,,,uM,
DPC-003215,HEMIN,,ENZYME INDUCER,,BRD:BRD-K74057164-001-01-6,,,,uM,
DPC-003217,HEMOMEX-S,PPARG,,,BRD:BRD-K15231341-001-01-5,,,,uM,
DPC-003218,HEPSULFAM,,DNA CROSS-LINKING,,BRD:BRD-K00004739-001-01-9,,,,uM,
DPC-003219,HEPTAMINOL,,VASOCONSTRICTOR,,BRD:BRD-A32988684-003-08-7,,,,uM,
DPC-003220,HER2-INHIBITOR-1,,EGFR INHIBITOR,,BRD:BRD-K89709433-001-03-9,,,,uM,
DPC-003221,HESPERADIN,AURKB,AURORA KINASE INHIBITOR,,BRD:BRD-K58122457-001-02-2,,,,uM,
DPC-003222,HESPERETIN,DGAT1;MTTP;SOAT1;SOAT2,ACAT INHIBITOR,,BRD:BRD-K30553453-001-13-2,,,,uM,
DPC-003223,HESPERIDIN,AURKB;CACNA1B,FLAVANONE GLYCOSIDE,,BRD:BRD-K38903228-001-13-5,,,,uM,
DPC-003224,HEXACHLOROPHENE,GLUD1;SDHD,POTASSIUM CHANNEL ACTIVATOR,,BRD:BRD-K99792991-001-34-9,,,,uM,
DPC-003225,HEXAMETHONIUM,CHRNA2;CHRNA3;CHRNA4;CHRNA6,CHOLINERGIC RECEPTOR ANTAGONIST,,BRD:BRD-K10598093-303-06-1,,,,uM,
DPC-003226,HEXAMETHYLENEBISACETAMIDE,AKT1,"AKT INHIBITOR, DIFFERENTIATION INDUCER, NFKB PATHWAY INHIBITOR",,BRD:BRD-K04710043-001-17-8,,,,uM,
DPC-003227,HEXAMINOLEVULINATE,,,,BRD:BRD-K73753850-003-01-6,,,,uM,
DPC-003228,HEXESTROL,AKR1C1;ESR1;ESR2,SYNTHETIC ESTROGEN,,BRD:BRD-K69253806-001-02-0,,,,uM,
DPC-003229,HEXOPRENALINE,ADRB2,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-A33894669-065-01-9,,,,uM,
DPC-003230,HEXYLCAINE,SCN10A;SCN5A,SODIUM CHANNEL BLOCKER,,BRD:BRD-A97730597-003-11-5,,,,uM,
DPC-003231,HEXYLRESORCINOL,TYR,LOCAL ANESTHETIC,,BRD:BRD-K99946902-001-07-5,,,,uM,
DPC-003232,HG-5-113-01,,,,GDSC1:1142,,,,uM,
DPC-003233,HG-5-88-01,,,,GDSC1:1143,,,,uM,
DPC-003234,HG6-64-1,,,KIN001-206,GDSC1:159,,,,uM,
DPC-003235,HIGENAMINE,ADRB2,natural product and beta2-adrenergic receptor (ADRB2) agonist,DEMETHYLCOCLAURINE;NORCOCLAURINE,BRD:BRD-A55204514-003-01-2,CHEMBL14253,C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O,WZRCQWQRFZITDX-UHFFFAOYSA-N,uM,114840
DPC-003236,HIPPURIC-ACID,,,,BRD:BRD-K62914667-001-13-9,,,,uM,
DPC-003237,HISTAMINE,HRH1;HRH2;HRH3;HRH4,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K01674964-300-06-3,,,,uM,
DPC-003238,HJC-0350,RAPGEF4,GTPASE INHIBITOR,,BRD:BRD-K34411045-001-01-9,,,,uM,
DPC-003239,HKI-357,EGFR,EGFR INHIBITOR,,BRD:BRD-K58811567-001-01-9,,,,uM,
DPC-003240,HLCL-61,PRMT5,PROTEIN ARGININE N-METHYLTRANSFERASE INHIBITOR,,BRD:BRD-K73746696-003-01-8,,,,uM,
DPC-003241,HLI 373,,,,CTRP:481311,,,,uM,
DPC-003242,HM-30181,,P GLYCOPROTEIN INHIBITOR,,BRD:BRD-K74319597-001-02-9,,,,uM,
DPC-003243,HMN-214,PLK1,PLK INHIBITOR,,BRD:BRD-K70511574-001-06-9,,,,uM,
DPC-003244,HOKU-81,,BRONCHODILATOR,,BRD:BRD-K00003598-001-01-9,,,,uM,
DPC-003245,HOMATROPINE,CES1;CHRM1,ACETYLCHOLINE RECEPTOR ANTAGONIST,,BRD:BRD-A74975734-004-09-9;BRD:BRD-A74975734-004-10-7,,,,uM,
DPC-003246,HOMATROPINE-METHYLBROMIDE,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,ACETYLCHOLINE RECEPTOR ANTAGONIST,,BRD:BRD-A43999749-004-04-1,,,,uM,
DPC-003247,HOMOCHLORCYCLIZINE,HRH1,ANTIHISTAMINE,,BRD:BRD-A22769835-300-05-7,,,,uM,
DPC-003248,HOMOHARRINGTONINE,RPL3,PROTEIN SYNTHESIS INHIBITOR,,BRD:BRD-K76674262-001-03-3,,,,uM,
DPC-003249,HOMOQUINOLINIC-ACID,GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K30519779-001-03-1,,,,uM,
DPC-003250,HOMOSALATE,,HSP INDUCER,,BRD:BRD-A34751532-001-06-9,,,,uM,
DPC-003251,HONOKIOL,ALOX5;PTGS1;PTGS2,AKT INHIBITOR,,BRD:BRD-K98493452-001-14-9,,,,uM,
DPC-003252,HORDENINE,,,,BRD:BRD-K93631643-001-02-4,,,,uM,
DPC-003253,HP-228,,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K00004723-001-01-9,,,,uM,
DPC-003254,HPGDS-IN-1,,PROSTAGLANDIN INHIBITOR,,BRD:BRD-K00003140-001-01-9,,,,uM,
DPC-003255,HPPH,,PHOTOSENSITIZING AGENT,,BRD:BRD-K00003730-001-01-9,,,,uM,
DPC-003256,HQK-1001,,,,BRD:BRD-K44963273-001-06-9,,,,uM,
DPC-003258,HSR6071,,ANTIALLERGIC AGENT,,BRD:BRD-K00004745-001-01-9,,,,uM,
DPC-003259,HT-2157,,GALANIN RECEPTOR 3 ANTAGONIST,,BRD:BRD-K00003386-001-01-9,,,,uM,
DPC-003260,HTH-01-015,NUAK1,PROTEIN KINASE INHIBITOR,,BRD:BRD-K58726989-001-02-7,,,,uM,
DPC-003261,HTHQ,,ANTIOXIDANT,,BRD:BRD-K00003389-001-01-9,,,,uM,
DPC-003262,HTMT,HRH4,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-A66435872-332-01-8,,,,uM,
DPC-003263,HUPERZINE-A,ACHE,ACETYLCHOLINESTERASE INHIBITOR,,BRD:BRD-K62240499-001-05-9,,,,uM,
DPC-003264,HYCANTHONE,,RNA SYNTHESIS INHIBITOR,,BRD:BRD-K50406511-001-26-0,,,,uM,
DPC-003265,HYDRALAZINE,AOC3;P4HA1,VASODILATOR,,BRD:BRD-K82103381-003-09-4,,,,uM,
DPC-003266,"HYDRASTINE-(1R,-9S)",,TYROSINE HYDROXYLASE INHIBITOR,"HYDRASTINE-(1R,9S)",BRD:BRD-K02715688-001-02-1,,,,uM,
DPC-003267,HYDRASTININE,,HAEMOSTATIC AGENT,,BRD:BRD-A57900429-003-05-8,,,,uM,
DPC-003268,HYDROCHLOROTHIAZIDE,CA1;CA12;CA2;CA4;CA9;KCNMA1;SLC12A3,THIAZIDE DIURETIC,,BRD:BRD-K13078532-001-28-4,,,,uM,
DPC-003269,HYDROCORTISONE,ANXA1;NOS2;NR3C1;NR3C2,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-K93568044-001-32-0,,,,uM,
DPC-003270,HYDROCORTISONE-ACETATE,NR3C1;NR3C2,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-A65767837-001-04-4,,,,uM,
DPC-003271,HYDROCORTISONE-BUTYRATE,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-K99199077-001-16-1,,,,uM,
DPC-003272,HYDROCORTISONE-HEMISUCCINATE,,,,BRD:BRD-A07000685-001-04-4,,,,uM,
DPC-003273,HYDROCORTISONE-PHOSPHATE,ANXA1;NOS2;NR3C1,,,BRD:BRD-A46186775-369-02-0,,,,uM,
DPC-003274,HYDROCORTISONE-VALERATE,,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-A25143711-001-02-2,,,,uM,
DPC-003275,HYDROFLUMETHIAZIDE,ATP1A1;CA1;CA12;CA2;CA4;CA9;KCNMA1;SLC12A1;SLC12A3,SODIUM/POTASSIUM/CHLORIDE TRANSPORTER INHIBITOR,,BRD:BRD-K36862742-001-25-6,,,,uM,
DPC-003276,HYDROQUINIDINE,,ANTIARRHYTHMIC,,BRD:BRD-A06390036-001-04-6,,,,uM,
DPC-003277,HYDROXOCOBALAMIN,,VITAMIN B,,BRD:BRD-K00003525-003-01-9,,,,uM,
DPC-003278,HYDROXYAMPHETAMINE,TAAR1,TRACE AMINE ASSOCIATED RECEPTOR AGONIST,,BRD:BRD-A80871782-004-06-9,,,,uM,
DPC-003279,HYDROXYCHLOROQUINE,TLR7;TLR9,ANTIMALARIAL AGENT,,BRD:BRD-A99117172-065-04-0,,,,uM,
DPC-003280,HYDROXYFASUDIL,PKIA;PRKACA;ROCK1,RHO ASSOCIATED KINASE INHIBITOR,,BRD:BRD-K77793136-003-03-0,,,,uM,
DPC-003281,HYDROXYPROGESTERONE,PGR,PROGESTERONE RECEPTOR AGONIST,,BRD:BRD-A39791822-001-05-1,,,,uM,
DPC-003282,HYDROXYPROGESTERONE-ACETATE,PGR,PROGESTERONE RECEPTOR AGONIST,,BRD:BRD-K92902018-001-01-9,,,,uM,
DPC-003283,HYDROXYPROPYL-BETA-CYCLODEXTRIN,,,,BRD:BRD-A01412266-001-01-0,,,,uM,
DPC-003284,HYDROXYSAFFLOR-YELLOW-A,,ANTITUMOR AGENT,,BRD:BRD-K00003327-001-01-9,,,,uM,
DPC-003285,HYDROXYSTILBAMIDINE,,,,BRD:BRD-K62186992-334-02-8,,,,uM,
DPC-003286,"HYDROXYTACRINE-MALEATE-(R,S)",ACHE,CHOLINESTERASE INHIBITOR,,BRD:BRD-A98299281-050-09-6,,,,uM,
DPC-003287,HYDROXYTOLUIC-ACID,,,,BRD:BRD-K75608666-001-08-3,,,,uM,
DPC-003288,HYDROXYUREA,RRM1;RRM2;RRM2B,RIBONUCLEOTIDE REDUCTASE INHIBITOR,,BRD:BRD-K51747290-001-12-3;BRD:BRD-K51747290-001-13-1,,,,uM,
DPC-003289,HYDROXYZINE,HRH1,ANTIHISTAMINE,,BRD:BRD-A62428732-300-06-3,,,,uM,
DPC-003290,HYGROMYCIN-B,,POLYPEPTIDE SYNTHESIS INHIBITOR,,BRD:BRD-A67101513-001-03-7,,,,uM,
DPC-003291,HYMECROMONE,MAOA;MAOB,MONOAMINE OXIDASE INHIBITOR,,BRD:BRD-K46424862-001-14-1,,,,uM,
DPC-003292,HYODEOXYCHOLIC-ACID,,ATHEROSCLEROSIS FORMATION INHIBITOR,,BRD:BRD-K44009692-001-02-3,,,,uM,
